published_date,NEGATIVE,POSITIVE
2021-11-01,5,1
2021-11-02,5,1
2021-11-03,3,0
2021-11-04,5,1
2021-11-05,5,1
2021-11-06,4,0
2021-11-07,0,1
2021-11-09,7,1
2021-11-10,6,2
2021-11-11,1,2
2021-11-12,7,1
2021-11-13,2,1
2021-11-14,1,3
2021-11-15,1,0
2021-11-16,4,2
2021-11-17,4,0
2021-11-18,1,1
2021-11-19,2,2
2021-11-20,3,1
2021-11-21,0,1
2021-11-22,6,1
2021-11-23,2,2
2021-11-25,2,1
2021-11-26,0,1
2021-11-27,1,4
2021-11-29,0,1
2021-11-30,1,0
2021-12-01,4,1
2021-12-02,4,3
2021-12-03,3,3
2021-12-04,3,2
2021-12-05,0,2
2021-12-06,5,1
2021-12-07,3,2
2021-12-08,1,2
2021-12-09,0,2
2021-12-10,3,0
2021-12-11,0,2
2021-12-13,0,1
2021-12-14,1,0
2021-12-15,3,1
2021-12-16,2,1
2021-12-17,6,1
2021-12-18,1,0
2021-12-20,0,2
2021-12-21,2,1
2021-12-22,2,1
2021-12-23,2,1
2021-12-24,4,1
2021-12-27,0,1
2021-12-28,2,0
2021-12-29,1,0
2021-12-30,3,1
2021-12-31,2,3
2022-01-01,1,0
2022-01-03,0,1
2022-01-05,2,0
2022-01-06,3,1
2022-01-07,2,2
2022-01-08,1,0
2022-01-09,1,2
2022-01-11,1,0
2022-01-12,1,1
2022-01-13,1,0
2022-01-14,0,1
2022-01-15,1,0
2022-01-16,1,0
2022-01-17,1,0
2022-01-18,3,0
2022-01-19,1,1
2022-01-20,1,1
2022-01-21,0,1
2022-01-22,1,1
2022-01-23,1,0
2022-01-24,1,0
2022-01-25,7,1
2022-01-26,4,2
2022-01-27,1,2
2022-01-28,2,0
2022-01-29,0,2
2022-01-30,1,0
2022-01-31,3,1
2022-02-01,2,0
2022-02-02,8,0
2022-02-04,2,0
2022-02-05,0,1
2022-02-06,0,2
2022-02-08,0,1
2022-02-10,6,0
2022-02-11,2,0
2022-02-12,2,0
2022-02-13,2,2
2022-02-14,7,0
2022-02-15,3,0
2022-02-16,3,2
2022-02-17,1,2
2022-02-18,1,1
2022-02-19,3,0
2022-02-20,2,2
2022-02-21,3,2
2022-02-22,2,1
2022-02-23,1,0
2022-02-24,16,9
2022-02-25,9,11
2022-02-26,0,3
2022-02-27,2,0
2022-02-28,9,2
2022-03-01,8,7
2022-03-02,13,8
2022-03-03,7,4
2022-03-04,12,7
2022-03-05,6,1
2022-03-06,0,1
2022-03-07,2,6
2022-03-08,1,2
2022-03-09,2,3
2022-03-10,7,5
2022-03-11,3,3
